"Дата";"Регион";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день"
05.05.2020;Москва;80115;7870;816;52;5714;297
24.01.2021;Москва;913126;774550;12969;74;3069;5117
14.10.2021;Москва;1699498;1522320;29951;71;6712;3136
26.05.2020;Москва;169303;61619;2110;76;2830;8033
05.10.2021;Москва;1654476;1500434;29314;72;3827;2251
29.01.2021;Москва;925358;803642;13300;63;2799;6180
29.08.2021;Москва;1564952;1442955;27351;52;1444;1789
07.11.2020;Москва;462518;336659;7215;75;5829;3675
14.04.2020;Москва;13002;1016;95;13;1489;179
18.12.2020;Москва;722178;557028;10243;72;6937;5821
23.07.2021;Москва;1481296;1319555;24898;107;3425;7010
20.12.2021;Москва;2005710;1836874;35964;78;2630;2642
14.09.2020;Москва;271793;230397;4993;11;696;824
20.06.2021;Москва;1286570;1116739;21433;81;8305;2945
13.12.2021;Москва;1987272;1815584;35382;84;2894;3016
26.05.2021;Москва;1164017;1049246;19826;62;2416;2520
05.10.2020;Москва;307477;253944;5370;27;3537;913
27.04.2021;Москва;1085094;985769;18148;58;2098;1423
20.06.2020;Москва;212978;134549;3565;34;1057;2115
24.01.2022;Москва;2194045;1927017;38439;71;19509;3231
16.08.2020;Москва;252374;197143;4656;11;688;1045
05.03.2021;Москва;987041;907770;15297;54;1757;2249
15.10.2021;Москва;1706129;1526076;30021;70;6631;3756
23.01.2021;Москва;910057;769433;12895;64;2668;5933
04.05.2020;Москва;74401;7573;764;35;5795;544
30.01.2021;Москва;927788;809226;13368;68;2430;5584
04.10.2021;Москва;1650649;1498183;29242;66;4410;1956
27.05.2020;Москва;171443;67458;2183;73;2140;5839
06.11.2020;Москва;456689;332984;7140;69;6253;3783
30.08.2021;Москва;1566376;1444794;27401;50;1424;1839
22.07.2021;Москва;1477871;1312545;24791;102;4287;7587
19.12.2020;Москва;728637;562953;10317;74;6459;5925
15.04.2020;Москва;14776;1205;106;11;1774;189
21.06.2021;Москва;1294154;1119837;21512;79;7584;3098
13.09.2020;Москва;271097;229573;4982;14;650;900
19.12.2021;Москва;2003080;1834232;35886;81;3013;2661
06.10.2020;Москва;311559;255100;5401;31;4082;1156
25.05.2021;Москва;1161601;1046726;19764;57;2075;2208
14.12.2021;Москва;1989248;1819020;35471;89;1976;3436
19.06.2020;Москва;211921;132434;3531;48;1136;2003
28.04.2021;Москва;1086934;987457;18202;54;1840;1688
04.03.2021;Москва;985284;905521;15243;51;2150;2421
17.08.2020;Москва;253064;197962;4666;10;690;819
25.01.2022;Москва;2212980;1931016;38514;75;18935;3999
07.10.2021;Москва;1663469;1505180;29454;69;5404;2347
31.01.2021;Москва;930072;814728;13434;66;2284;5502
28.05.2020;Москва;173497;71251;2254;71;2054;3793
22.01.2021;Москва;907389;763500;12831;72;3037;5629
12.10.2021;Москва;1688376;1516617;29808;70;4699;2477
03.05.2020;Москва;68606;7029;729;34;5948;655
16.12.2020;Москва;708530;545430;10095;73;5028;5571
21.07.2021;Москва;1473584;1304958;24689;104;3254;8006
12.04.2020;Москва;10158;687;72;14;1306;188
31.08.2021;Москва;1567538;1446708;27445;44;1162;1914
09.11.2020;Москва;475166;343226;7361;72;6897;3313
28.05.2021;Москва;1170396;1055130;19940;56;3274;2998
07.10.2020;Москва;314788;256362;5442;41;3229;1262
11.12.2021;Москва;1981516;1809074;35210;86;3140;3584
12.09.2020;Москва;270447;228673;4968;12;670;1143
18.06.2021;Москва;1269145;1110399;21276;78;9056;3784
22.12.2021;Москва;2009520;1843148;36125;81;1904;3119
14.08.2020;Москва;250991;194823;4633;11;688;1350
03.03.2021;Москва;983134;903100;15192;46;1284;2065
26.01.2022;Москва;2232836;1935354;38588;74;19856;4338
29.04.2021;Москва;1090149;989411;18258;56;3215;1954
22.06.2020;Москва;215014;136670;3617;20;1068;1114
